bus,pg,qg,qmax,qmin,vg,mbase,status,pmax,pmin,pc1,pc2,qc1min,qc1max,qc2min,qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf
10,69.30,0.00,38.00,-20.00,0.99,69.30,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
2,90.00,0.00,34.00,-20.00,0.99,106.60,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
3,90.00,0.00,34.00,-20.00,0.99,106.60,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
4,45.00,0.00,17.00,-10.00,0.99,53.30,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
8,29.01,0.00,38.00,-20.00,0.99,69.30,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
9,29.01,0.00,38.00,-20.00,0.99,69.30,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
13,60.00,0.00,42.00,-20.00,0.99,81.50,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
14,60.00,0.00,42.00,-20.00,0.99,81.50,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
16,45.00,0.00,17.00,-10.00,0.99,53.30,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
18,60.00,0.00,42.00,-20.00,1.06,66.67,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
19,60.00,0.00,42.00,-20.00,1.06,66.67,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
27,13.00,0.00,11.60,-5.00,1.02,19.40,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
28,13.00,0.00,11.60,-5.00,1.02,19.40,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
29,13.00,0.00,12.60,-5.00,1.02,21.00,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
32,11.00,0.00,9.90,-5.00,1.03,16.50,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
33,11.00,0.00,9.90,-5.00,1.03,16.50,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
36,14.60,0.00,3.30,-2.00,1.02,18.20,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
42,40.00,0.00,22.00,-20.00,1.05,55.00,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
43,40.00,0.00,22.00,-20.00,1.05,55.00,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
50,30.00,0.00,20.00,-20.00,1.05,40.00,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
51,30.00,0.00,20.00,-20.00,1.05,40.00,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
52,30.00,0.00,20.00,-20.00,1.05,40.00,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
53,30.00,0.00,20.00,-20.00,1.05,40.00,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
98,50.00,0.00,23.00,-16.00,1.03,55.00,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
99,50.00,0.00,23.00,-16.00,1.03,55.00,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
102,60.00,0.00,30.00,-26.00,1.05,67.50,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
104,4.00,0.00,3.30,-3.30,1.00,10.00,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
117,6.00,0.00,2.50,0.00,1.03,20.20,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
126,38.00,0.00,22.00,-12.00,1.02,60.00,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
127,38.00,0.00,22.00,-12.00,1.02,60.00,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
138,30.00,0.00,18.70,-16.00,1.00,37.50,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
139,30.00,0.00,18.70,-16.00,1.00,37.50,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
142,3.00,0.00,1.30,0.00,1.02,3.50,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
144,20.00,0.00,16.80,0.00,1.06,28.00,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0
186,6.00,0.00,6.00,0.00,1.01,10.00,1,2000.00,0.00,0,0,0,0,0,0,0,0,0,0,0